Collecte_Nom,Collecte_Adresse,Collecte_Ville,Collecte_Codepostal,Collecte_Longitude,Collecte_Latitude
Écocentre - Arrondissement de Beauport,"425, boulevard Raymond",Québec,G1C 5B4,-71.1832628224251,46.8832934288913
Écocentre - Arrondissement des Rivières,"1700, rue Provinciale",Québec ,G1N 4A2,-71.2721546722926,46.8016260554397
Écocentre - Bon débarras,"2456, route 125",Sainte-Julienne ,J0K 2T0,-73.7207021393191,45.9889778767535
Écocentre - Centre de gestion des matières résiduelles (CGMR),"1300, route 199",Îles-de-la-Madeleine,G4T 5B5,-61.7501896643171,47.4458541484555
Écocentre - Centre de multirecyclage de Sainte-Thérèse,"105, rue Blanchard",Sainte-Thérèse ,J7E 4N4,-73.8409130175194,45.6347239147268
Écocentre du boulevard de la Carrière ,"860, boulevard de la Carrière",Gatineau ,J8X 3Y9,-75.7284596251214,45.4559954252049
Écocentre - Centre de transbordement du Havre-Aubert,"280, ch. Du Bassin",Îles-de-la-Madeleine,G4T 0B7,-61.9145505538944,47.23334505852
Écocentre - Complexe Enviro Connexions Ltée,"3779, chemin des Quarantes-Arpents",Terrebonne,J6V 9T6,-73.5344267374923,45.7399721179427
Écocentre - Delage Envirosan ltée,"187, chemin Industriel",L'Ange-Gardien ,J8L 0A9,-75.3998301135539,45.6115283793239
Écocentre - Entreprises PAVCO,"180, rue Armand-Majeau Sud",Saint-Roch-de-l'Achigan,J0K 3H0,-73.5977144426165,45.8349001986734
Écocentre - Matrec,"184, 181e rue  ",Beauceville,G5X 2S9,-70.7850003330667,46.2280245419796
Écocentre - Mélimax,"224, boulevard Industriel",Châteauguay ,J6J 4Z2,-73.6893760095585,45.3524646352595
Écocentre - Recyclage Frédérick Morin,"1752, rue Saint-Cléophas",Saint-Gabriel-de-Brandon,J0K 2N0,-73.3789233461062,46.2830895958838
Écocentre de Cowansville,"2500, rang Saint-Joseph",Cowansville,J2K 3G6,-72.8103877419281,45.1866521481142
Écocentre - Régie Intermunicipale du Comté de Beauce-Sud,"695, rang St-Joseph",Saint-Côme-Linière,G0M 1J0,-70.546716268695,46.0880865119338
Écocentre - Ressource de réinsertion Le Phare,"99, boulevard du Portage-des-Mousses",Port-Cartier,G5B 1C9,-66.8487062070383,50.0337424321013
Écocentre - Sanitaire Mégantic,"9109, route 204",Frontenac,G6B 2S1,-70.7798364739137,45.6092010703583
Écocentre - Secteur de Saint-Canut,"6000, route Sir Wilfrid-Laurier - route 158",Mirabel,J7N 2Z8,-74.1498353359585,45.6854825176365
Écocentre - Secteur de Sainte-Scholastique,"9825, rue Saint-Vincent",Mirabel,J7N 2Y5,-74.0956719491999,45.6495615933211
Écocentre - Services Sanitaires Denis Fortier,"3878, boulevard Frontenac Est",Thetford Mines,G6H 4G2,-71.2460537858521,46.1245954722296
Écocentre Acadie - Arrondissement d’Ahuntsic-Cartierville,"1200, boulevard Henri-Bourassa Ouest",Montréal ,H3M 3G1,-73.6750496694309,45.5396149688555
Écocentre Côte-des-Neiges - Arrondissement de Côte-des-Neiges-Notre-Dame-de-Grâce,"6925, chemin de la Côte-des-Neiges",Montréal ,H3S 2B6,-73.6383317453062,45.505723470722
Écocentre d'Abitibi-Ouest,"15, boulevard Industriel            ",La Sarre ,J9Z 2X2,-79.1694645436246,48.7815905479415
Écocentre d'Acton Vale,"68, rue Noël-Lecomte",Acton Vale ,J0H 1A0,-72.5731223307431,45.6330379656723
Écocentre d'Alma,"3521, avenue du Pont Nord",Alma ,G8E 1S5,-71.6147770023591,48.6131884756616
Écocentre d'Amherst,"1323, route 323 sud",Amherst,J0T 2L0,-74.7706372877981,45.9997431205567
Écocentre d'Armagh,"116, rue du Couvent",Armagh,G0R 1A0,-70.5832181710902,46.7420982135391
Écocentre d'Asbestos,"404, rue du Roi",Asbestos ,J1T 1S9,-71.9270303986721,45.7799736227582
Écocentre de Baie-Comeau,"800, avenue Léonard-E.-Schlemm",Baie-Comeau ,G4Z 3B7,-68.2276369295413,49.2107403236784
Écocentre de Beauharnois,"50, rue des Hauts-Fourneaux",Beauharnois ,J6N 3S3,-73.8726416304632,45.3134951644993
Écocentre de Beaumont,"470, route 279 ",Beaumont,G0R 1C0,-70.9659686633127,46.8454717814876
Écocentre de Beaupré Saint-Joachim,"10, rue Industrielle",Beaupré ,G0A 1E0,-70.8886364888998,47.0408697287783
Écocentre de Bécancour,"18055, rue Gauthier",Bécancour,G9H 1C1,-72.5465495831226,46.2848476850694
Écocentre de Bedford,"100, rue Champagnat",Bedford ,J0J 1A0,-72.996715226275,45.1246211512836
Écocentre de Beloeil,"986, rue Dupré ",Beloeil ,J3G 4A8,-73.2051169193147,45.5752839684591
Écocentre de Boischatel,"345, rue des Saphirs",Boischatel ,G0A 1H0,-71.1540285348915,46.9264122775365
Écocentre de Bois-des-Filion,"690, rue de la Sablière",Bois-des-Filion ,J6Z 4T7,-73.7645589519982,45.6781296789502
Écocentre de Bromont,"20, rue du Pacifique Est",Bromont ,J2L 1J5,-72.667747028487,45.3083796961294
Écocentre de Buckland,"4340, rue Principale",Notre-Dame-Auxiliatrice-de-Buckland,G0R 1G0,-70.5438721753789,46.6198476516959
Écocentre de Causapscal,"305, rue Cartier",Causapscal ,G0J 1J0,-67.2283450480717,48.3448250865438
